-0.084229	-0.027588	0.923828
-0.063965	-0.017334	0.934570
-0.076660	-0.022461	0.910645
-0.093506	-0.032471	0.925537
-0.081787	-0.026611	0.932373
-0.080078	-0.027100	0.914307
-0.080078	-0.029785	0.915283
-0.083496	-0.025391	0.910156
-0.093018	-0.024658	0.906006
-0.082275	-0.025391	0.911377
-0.081055	-0.041992	0.918457
-0.065186	-0.027344	0.910400
-0.077637	-0.026855	0.936035
-0.083252	-0.026123	0.931152
-0.083008	-0.031006	0.919434
-0.079346	-0.027344	0.915039
-0.078857	-0.029297	0.922119
-0.084961	-0.024902	0.915527
-0.080811	-0.022217	0.935303
-0.079834	-0.028809	0.925049
-0.082520	-0.027588	0.908447
-0.089111	-0.023193	0.912109
-0.082031	-0.030762	0.920654
-0.084961	-0.027832	0.905762
-0.083008	-0.024902	0.909912
-0.064209	-0.020508	0.911865
-0.088867	-0.029541	0.921631
-0.085693	-0.025879	0.913818
-0.083252	-0.032715	0.911865
-0.082275	-0.021729	0.923828
-0.080811	-0.023926	0.916748
-0.086670	-0.026367	0.920166
-0.084717	-0.028564	0.924805
-0.077148	-0.029541	0.906250
-0.079834	-0.030029	0.921631
-0.077393	-0.044189	0.917725
-0.063965	-0.024902	0.921143
-0.087891	-0.016602	0.914795
-0.081787	-0.030029	0.920166
-0.090332	-0.025635	0.926514
-0.088379	-0.025391	0.917236
-0.086670	-0.017822	0.909180
-0.085449	-0.024902	0.924316
-0.078857	-0.024902	0.915283
-0.079102	-0.020752	0.922363
-0.083008	-0.032227	0.916016
-0.083252	-0.024170	0.922852
-0.082520	-0.028076	0.916748
-0.087646	-0.023682	0.919189
-0.082764	-0.026855	0.916504
-0.074707	-0.024414	0.925537
-0.088623	-0.026367	0.925293
-0.084961	-0.045166	0.919678
-0.093750	-0.024902	0.913086
-0.067627	-0.026123	0.925781
-0.086182	-0.019287	0.923096
-0.078125	-0.028320	0.923096
-0.083008	-0.025635	0.911621
-0.084229	-0.031494	0.929443
-0.081543	-0.023926	0.930908
-0.081787	-0.032959	0.912598
-0.084717	-0.033203	0.911621
-0.082275	-0.025879	0.921875
-0.075439	-0.027100	0.924561
-0.083740	-0.022217	0.919434
-0.080078	-0.027588	0.924805
-0.081055	-0.020020	0.921631
-0.082764	-0.023682	0.917969
-0.087158	-0.018066	0.933838
-0.083740	-0.025146	0.926270
-0.080566	-0.030273	0.928955
-0.083008	-0.025391	0.922119
-0.082520	-0.029541	0.927979
-0.082764	-0.021973	0.915039
-0.078613	-0.022949	0.924561
-0.082275	-0.024414	0.924072
-0.088379	-0.031250	0.924316
-0.083496	-0.026123	0.915283
-0.080322	-0.024414	0.926514
-0.076172	-0.024170	0.911865
-0.088867	-0.026855	0.920166
-0.083252	-0.027100	0.921387
-0.084229	-0.027832	0.918213
-0.084229	-0.027832	0.921387
-0.064941	-0.026367	0.921631
-0.083740	-0.024902	0.916504
-0.076416	-0.023682	0.922119
